Original controlled dictionary size: 229504
New controlled dictionary size: 3716

Top 50 N-grams by DF:
nt,1.7744788009620058
good,1.7992891796969903
food,1.8542925586040546
NUM,1.9037176038913033
great,2.105381425583383
order,2.1854826875514055
time,2.235961665952722
wait,2.3774420130387366
servic,2.426913901638511
back,2.4272369860201914
friend,2.4535384966740392
love,2.500284969337046
delici,2.624753104733827
ve,2.62501560637597
restaur,2.6500036157027145
dish,2.7190926271695504
eat,2.721691906611338
tabl,2.745690717138726
make,2.78080848448998
menu,2.8497027479928914
chees,2.853489695796771
tast,2.8572910391066184
thing,2.9042448377700456
amaz,2.934371312387874
nice,2.936161502626086
peopl,2.963590340486538
seat,2.9720978820899555
pretti,2.9730269911412766
night,2.9891442815565314
perfect,3.0587716151556563
recommend,3.0673151984499083
flavor,3.084832390314712
price,3.119307624329541
meal,3.119522840084165
small,3.150785633112948
dinner,3.1536767726782196
bit,3.1628501226084773
favorit,3.164649898122417
worth,3.175289500469964
made,3.2225901054894477
enjoy,3.2460069871932844
experi,3.248207746120416
long,3.27324313471003
top,3.2861269809827096
fresh,3.2927596583594485
line,3.3129258019372245
star,3.3131870008416744
serv,3.3258054648008857
review,3.332174913086366
lot,3.3501740558178437

Bottom 50 N-grams by DF: 
januari,7.651261747986373
condit,7.651261747986373
short-wait,7.651261747986373
small-size,7.651261747986373
bean-burger,7.651261747986373
tuna-roll,7.651261747986373
flawless,7.651261747986373
aftertast,7.651261747986373
NUM-pound,7.651261747986373
skate,7.651261747986373
favorit-food,7.651261747986373
willi,7.651261747986373
tang,7.651261747986373
menu-option,7.651261747986373
final-seat,7.651261747986373
boudin-ball,7.651261747986373
border,7.651261747986373
amaz-servic,7.651261747986373
munchi,7.651261747986373
observ,7.651261747986373
prefac,7.651261747986373
peev,7.651261747986373
beard,7.651261747986373
lunch-spot,7.651261747986373
belong,7.651261747986373
fun-night,7.651261747986373
univers,7.651261747986373
teriyaki-mayo,7.651261747986373
spici-king,7.651261747986373
rpm-italian,7.651261747986373
mmmmm,7.651261747986373
singl-thing,7.651261747986373
small-space,7.651261747986373
frost,7.651261747986373
love-tapa,7.651261747986373
NUM-seat,7.651261747986373
nation,7.651261747986373
mind-wait,7.651261747986373
declin,7.651261747986373
plethora,7.651261747986373
good-atmospher,7.651261747986373
sloppi-goat,7.651261747986373
date-stuf,7.651261747986373
spicier,7.651261747986373
hunt,7.651261747986373
boast,7.651261747986373
sound-good,7.651261747986373
cocktail-list,7.651261747986373
liter-melt,7.651261747986373
conveni-locat,7.651261747986373
